N;id_acc;nombre_acc;precio_acc;stock_acc;descripcion_acc;id_pl;nombre_pl;precio_pl;descripcion_pl;id_eq;;nombre_eq;precio_eq;stock_eq;descripcion_eq;grarantia;link_eq;id_of;nombre_of;descuento_of;descripcion_of;nombre_pr;precio_pr;stock_pr;descripcion_pr
11;9;FreeBuds 4i Negro;259;29;Huawei, Bluetooth 5.2, emparejamiento Pop-Up, 6.5 horas de uso;11;Max ilimitado F;159,9;240GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);11;Samsung Galaxy A03 32GB;Samsung Galaxy A03 32GB +  FreeBuds 4i Negro;591;11;CELULAR: Batería 5000 mAh, pantalla LCD 6.5'' resolución HD+, procesador Octa-Core, memoria RAM de 3GB, memoria interna de 32GB. ACCESORIO: BlackSheep, Audífono BT Drums;12;/resources/images/11.png;null;null;null;null;Samsung Galaxy A03 32GB +  FreeBuds 4i Negro + Max ilimitado F;750,9;11;CELULAR: Batería 5000 mAh, pantalla LCD 6.5'' resolución HD+, procesador Octa-Core, memoria RAM de 3GB, memoria interna de 32GB. ACCESORIO: BlackSheep, Audífono BT Drums PLAN: 240GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA)
12;10;Audífonos Flex;39;4;BlackSheep, bluetooth 5.1, duración 9 horas;12;Max play B;115;150GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica), redes ilimitadas, Netflix Premium GRATIS;12;Xiaomi Redmi 9A 32GB Verde;Xiaomi Redmi 9A 32GB Verde +  Audífonos Flex;623;35;CELULAR: Pantalla HD + 6.53'', cámara frontal 5MP principal 13MP, procesador MediaTEk G25 8 núcleos, memoria RAM 2GB, batería 5000 mAh. ACCESORIO: SkullCandy Jib True Wireless + Sidebag;12;/resources/images/12.png;1;50% Cyber wow;0,5;Oferta de temporada -50%;Xiaomi Redmi 9A 32GB Verde +  Audífonos Flex + Max play B +  50% Cyber wow;369;35;CELULAR: Pantalla HD + 6.53'', cámara frontal 5MP principal 13MP, procesador MediaTEk G25 8 núcleos, memoria RAM 2GB, batería 5000 mAh. ACCESORIO: SkullCandy Jib True Wireless + Sidebag PLAN: 150GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica), redes ilimitadas, Netflix Premium GRATIS OFERTA:  Oferta de temporada -50%
13;11;Marley Audífonos Jammin Mic Amarillo;59;112;Marley Audífonos Jammin Mic Amarillo;13;Max ilimitado G;109,9;210GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);13;Xiaomi Redmi 9A 32GB Gris;Xiaomi Redmi 9A 32GB Gris +  Marley Audífonos Jammin Mic Amarillo;623;6;CELULAR: Pantalla HD + 6.53'', cámara frontal 5MP principal 13MP, procesador MediaTEk G25 8 núcleos, memoria RAM 2GB, batería 5000 mAh. ACCESORIO: SkullCandy Jib True Wireless + Sidebag;18;/resources/images/13.png;2;3% Descuento Promo;0,03;Oferta por producto -3%;Xiaomi Redmi 9A 32GB Gris +  Marley Audífonos Jammin Mic Amarillo + Max ilimitado G +  3% Descuento Promo;710,9;6;CELULAR: Pantalla HD + 6.53'', cámara frontal 5MP principal 13MP, procesador MediaTEk G25 8 núcleos, memoria RAM 2GB, batería 5000 mAh. ACCESORIO: SkullCandy Jib True Wireless + Sidebag PLAN: 210GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA) OFERTA:  Oferta por producto -3%
14;12;Marley Audífonos Jammin Mic Rojo;59;16;Marley Audífonos Jammin Mic Rojo;1;Max ilimitado A;95,9;195GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);14;ZTE Blade V30 Vita 128GB Negro;ZTE Blade V30 Vita 128GB Negro +  Marley Audífonos Jammin Mic Rojo;643;26;CELULAR: Batería 5000mAh, pantalla 6.82'', procesador Octa-Core, memoria RAM 3GB, almacenamiento 128GB, cámara principal 48MP. ACCESORIO: SkullCandy Jib True Wireless + Sidebag;12;/resources/images/14.png;3;4% Descuento Promo;0,04;Oferta por producto -4%;ZTE Blade V30 Vita 128GB Negro +  Marley Audífonos Jammin Mic Rojo + Max ilimitado A +  4% Descuento Promo;709,3;26;CELULAR: Batería 5000mAh, pantalla 6.82'', procesador Octa-Core, memoria RAM 3GB, almacenamiento 128GB, cámara principal 48MP. ACCESORIO: SkullCandy Jib True Wireless + Sidebag PLAN: 195GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA) OFERTA:  Oferta por producto -4%
15;13;Audífono Blacksheep Drums TWS Negro;79;72;BlackSheep, bluetooth 5.1, duración 9 horas;2;Max play A;95;82.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica), redes ilimitadas, Netflix Estándar GRATIS;15;Samsung Galaxy A04 64GB Negro;Samsung Galaxy A04 64GB Negro +  Audífono Blacksheep Drums TWS Negro;707;22;CELULAR: Pantalla HD+ 6.5'', batería 5000mAh, cámara principal 50MP, almacenamiento interno 32GB, procesador Octa core - MediaTek MT 6765. ACCESORIO: SkullCandy, bateria hasta 9 horas, bluetooth 5.1;12;/resources/images/15.png;4;5% Descuento Promo;0,05;Oferta por producto -5%;Samsung Galaxy A04 64GB Negro +  Audífono Blacksheep Drums TWS Negro + Max play A +  5% Descuento Promo;761,9;22;CELULAR: Pantalla HD+ 6.5'', batería 5000mAh, cámara principal 50MP, almacenamiento interno 32GB, procesador Octa core - MediaTek MT 6765. ACCESORIO: SkullCandy, bateria hasta 9 horas, bluetooth 5.1 PLAN: 82.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica), redes ilimitadas, Netflix Estándar GRATIS OFERTA:  Oferta por producto -5%
16;14;Audífono Tabs Blanco;79;50;BlackSheep, bluetooth 5.1, duración 9 horas;3;Max ilimitado B;79,9;157.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);16;Huawei Nova 9 SE Azul 128GB;Huawei Nova 9 SE Azul 128GB +  Audífono Tabs Blanco;1307;32;CELULAR: Pantalla alta resolución FHD+ 6.78'', cámara frontal 16MP principal 108MP, batería 4000mAh. ACCESORIO: SkullCandy, bateria hasta 9 horas, bluetooth 5.1;12;/resources/images/16.png;5;15% Descuento Promo;0,15;Oferta por producto -15%;Huawei Nova 9 SE Azul 128GB +  Audífono Tabs Blanco + Max ilimitado B +  15% Descuento Promo;1178,9;32;CELULAR: Pantalla alta resolución FHD+ 6.78'', cámara frontal 16MP principal 108MP, batería 4000mAh. ACCESORIO: SkullCandy, bateria hasta 9 horas, bluetooth 5.1 PLAN: 157.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica) OFERTA:  Oferta por producto -15%
17;null;null;null;null;null;4;Max ilimitado C;69,9;142.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);17;Xiaomi 12 256GB Azul 5G + B-Bund S3;Xiaomi 12 256GB Azul 5G + B-Bund S3;3957;24;CELULAR: Memoria RAM 8GB y 256GB almacenamiento, procesador de Snapdragon 8 Gen 1, batería 4500mAh, cámara frontal 32MP, Bluetooth 5.2. ACCESORIO: SkullCandy, bateria hasta 9 horas, bluetooth 5.1;12;/resources/images/17.png;6;45% Cyber wow;0,45;Oferta de temporada -45%;Xiaomi 12 256GB Azul 5G + B-Bund S3 + Max ilimitado C +  45% Cyber wow;2214,8;24;CELULAR: Memoria RAM 8GB y 256GB almacenamiento, procesador de Snapdragon 8 Gen 1, batería 4500mAh, cámara frontal 32MP, Bluetooth 5.2. ACCESORIO: SkullCandy, bateria hasta 9 horas, bluetooth 5.1 PLAN: 142.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica) OFERTA:  Oferta de temporada -45%
18;15;Choice Earbuds;99;74;Honor, Choice Earbuds;5;Max A;55,9;75GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);18;Samsung Galaxy S20 FE 5G Azul;Samsung Galaxy S20 FE 5G Azul +  Choice Earbuds;2489;19;CELULAR: Pantalla 6.5'' FULL HD+, batería 4500mAh, cámara triple sensor, 128 GB UFS 3.1 de almacenamiento interno. ACCESORIO: TCL, inalámbrico, altavoces de 13MM, bluetooth 5.1, USB tipo C, estuche de carga de 500 mAh;12;/resources/images/18.png;7;20% Descuento Promo;0,2;Oferta por producto -20%;Samsung Galaxy S20 FE 5G Azul +  Choice Earbuds + Max A +  20% Descuento Promo;2035,9;19;CELULAR: Pantalla 6.5'' FULL HD+, batería 4500mAh, cámara triple sensor, 128 GB UFS 3.1 de almacenamiento interno. ACCESORIO: TCL, inalámbrico, altavoces de 13MM, bluetooth 5.1, USB tipo C, estuche de carga de 500 mAh PLAN: 75GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica) OFERTA:  Oferta por producto -20%
19;16;Audifonos DIME TW Bronce;99;95;SkullCandy, Audifonos DIME TW Bronce;6;Max B;49,5;45GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);19;Xiaomi Redmi 10A 32GB Plata;Xiaomi Redmi 10A 32GB Plata +  Audifonos DIME TW Bronce;659;16;CELULAR: Cámara principal 13MP, batería 5000 mAh, memoria RAM 2GB, memoria interna 32GB, pantalla LCD 6,53'', procesador G25 octa-core de 2GHz. ACCESORIO: TCL, inalámbrico, altavoces de 13MM, bluetooth 5.1, USB tipo C, estuche de carga de 500 mAh;18;/resources/images/19.png;8;30% Cyber wow;0,3;Oferta de temporada -30%;Xiaomi Redmi 10A 32GB Plata +  Audifonos DIME TW Bronce + Max B +  30% Cyber wow;496;16;CELULAR: Cámara principal 13MP, batería 5000 mAh, memoria RAM 2GB, memoria interna 32GB, pantalla LCD 6,53'', procesador G25 octa-core de 2GHz. ACCESORIO: TCL, inalámbrico, altavoces de 13MM, bluetooth 5.1, USB tipo C, estuche de carga de 500 mAh PLAN: 45GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica) OFERTA:  Oferta de temporada -30%
20;17;Audifonos DIME TW Rojo;99;69;SkullCandy, Audifonos DIME TW Rojo;7;Max C;39,9;37.5GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (14 países de de Latinoamérica);20;Xiaomi Redmi 10C 64GB Gris;Xiaomi Redmi 10C 64GB Gris +  Audifonos DIME TW Rojo;909;40;CELULAR: Cámara de 50MP, batería 5000 mAh, memoria RAM 4GB, pantalla LCD 6,71'', bluetooth 5.0. ACCESORIO: TCL, inalámbrico, altavoces de 13MM, bluetooth 5.1, USB tipo C, estuche de carga de 500 mAh;18;/resources/images/20.png;9;40% Cyber wow;0,4;Oferta de temporada -40%;Xiaomi Redmi 10C 64GB Gris +  Audifonos DIME TW Rojo + Max C +  40% Cyber wow;569,3;40;CELULAR: Cámara de 50MP, batería 5000 mAh, memoria RAM 4GB, pantalla LCD 6,71'', bluetooth 5.0. ACCESORIO: TCL, inalámbrico, altavoces de 13MM, bluetooth 5.1, USB tipo C, estuche de carga de 500 mAh PLAN: 37.5GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (14 países de de Latinoamérica) OFERTA:  Oferta de temporada -40%
21;18;Audífonos Buds 3 lite;119;139;Xiaomi, Audífonos Buds 3 lite;8;Max D;29,9;12.5GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (14 países de de Latinoamérica);21;Motorola Moto G82 128GB Negro 5G;Motorola Moto G82 128GB Negro 5G +  Audífonos Buds 3 lite;1947;5;CELULAR: Pantalla FHD+ 6.55'', cámara principal 50MP frontal 16MP, RAM 6GB, memoria interna 128GB. ACCESORIO: SkullCandy, hasta 22 horas de duración y opción de carga rápida de 10 minutos para 4 horas;12;/resources/images/21.png;10;25% Cyber wow;0,25;Oferta de temporada -25%;Motorola Moto G82 128GB Negro 5G +  Audífonos Buds 3 lite + Max D +  25% Cyber wow;1482,7;5;CELULAR: Pantalla FHD+ 6.55'', cámara principal 50MP frontal 16MP, RAM 6GB, memoria interna 128GB. ACCESORIO: SkullCandy, hasta 22 horas de duración y opción de carga rápida de 10 minutos para 4 horas PLAN: 12.5GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (14 países de de Latinoamérica) OFERTA:  Oferta de temporada -25%
22;19;Audífonos Push True Wireless Earbuds Azul;189;135;SkullCandy, Bluetooth 4.2, tecnología IPX4;9;Max ilimitado D;289,9;285GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA + Europa);22;Samsung Galaxy Z Fold 4 Verde 256GB 5G;Samsung Galaxy Z Fold 4 Verde 256GB 5G +  Audífonos Push True Wireless Earbuds Azul;7927;23;CELULAR: Cámara principal 50MP, procesador Qualcomm Snapdragon 8+, Gen1 8GB de RAM, memoria interna 256GB. ACCESORIO: SkullCandy, hasta 22 horas de duración y opción de carga rápida de 10 minutos para 4 horas;12;/resources/images/22.png;null;null;null;null;Samsung Galaxy Z Fold 4 Verde 256GB 5G +  Audífonos Push True Wireless Earbuds Azul + Max ilimitado D;8216,9;23;CELULAR: Cámara principal 50MP, procesador Qualcomm Snapdragon 8+, Gen1 8GB de RAM, memoria interna 256GB. ACCESORIO: SkullCandy, hasta 22 horas de duración y opción de carga rápida de 10 minutos para 4 horas PLAN: 285GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA + Europa)
23;20;Samsung Galaxy Buds Plus;379;89;Samsung Galaxy Buds Plus;10;Max ilimitado E;189,9;270GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);23;Samsung Galaxy Z Flip 4 256GB Azul 5G;Samsung Galaxy Z Flip 4 256GB Azul 5G +  Samsung Galaxy Buds Plus;4707;11;CELULAR: Procesador 4nm, 8GB RAM, memoria interna 256GB, batería 3,700mAh. ACCESORIO: SkullCandy, hasta 22 horas de duración y opción de carga rápida de 10 minutos para 4 horas;12;/resources/images/23.png;1;50% Cyber wow;0,5;Oferta de temporada -50%;Samsung Galaxy Z Flip 4 256GB Azul 5G +  Samsung Galaxy Buds Plus + Max ilimitado E +  50% Cyber wow;2448,5;11;CELULAR: Procesador 4nm, 8GB RAM, memoria interna 256GB, batería 3,700mAh. ACCESORIO: SkullCandy, hasta 22 horas de duración y opción de carga rápida de 10 minutos para 4 horas PLAN: 270GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA) OFERTA:  Oferta de temporada -50%
24;21;Galaxy Buds Live Negro;459;12;Samsung, Galaxy Buds Live Negro;11;Max ilimitado F;159,9;240GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);24;Vivo X80 Pro 256GB CB;Vivo X80 Pro 256GB CB +  Galaxy Buds Live Negro;6161;23;CELULAR: Pantalla 6.78'', cámara principal 50MP, procesador Snapdragon8 Gen1, memoria RAM 12GB, una memoria interna 256GB. ACCESORIO: Apple, 6 horas en uso continuo;12;/resources/images/24.png;2;3% Descuento Promo;0,03;Oferta por producto -3%;Vivo X80 Pro 256GB CB +  Galaxy Buds Live Negro + Max ilimitado F +  3% Descuento Promo;6131,3;23;CELULAR: Pantalla 6.78'', cámara principal 50MP, procesador Snapdragon8 Gen1, memoria RAM 12GB, una memoria interna 256GB. ACCESORIO: Apple, 6 horas en uso continuo PLAN: 240GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA) OFERTA:  Oferta por producto -3%
